name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
AirspaceNoiseReductionMinInq_RegAddr,Integer,,AirspaceNoiseReductionMinInq_RegAddr,,,,,,,
AirspaceNoiseReduction_Reg,IntReg,,AirspaceNoiseReduction_Reg,,RW,,,,,
AirspaceNoiseReduction_RegAddr,Integer,,AirspaceNoiseReduction_RegAddr,,,,,,,
AnyWay_Ava,IntSwissKnife,,AnyWay_Ava,,,,,,,
AutoAOIHeightMax_Inq,IntSwissKnife,,AutoAOIHeightMax_Inq,,,,,,,
AutoAOIHeight_Reg,IntReg,,AutoAOIHeight_Reg,,RW,,,,,
AutoAOIHeight_RegAddr,Integer,,AutoAOIHeight_RegAddr,,,,,,,
AutoAOIInq_RegAddr,Integer,,AutoAOIInq_RegAddr,,,,,,,
AutoAOIOffsetXMax_Inq,IntSwissKnife,,AutoAOIOffsetXMax_Inq,,,,,,,
AutoAOIOffsetX_Reg,IntReg,,AutoAOIOffsetX_Reg,,RW,,,,,
AutoAOIOffsetX_RegAddr,Integer,,AutoAOIOffsetX_RegAddr,,,,,,,
AutoAOIOffsetYMax_Inq,IntSwissKnife,,AutoAOIOffsetYMax_Inq,,,,,,,
AutoAOIOffsetY_Reg,IntReg,,AutoAOIOffsetY_Reg,,RW,,,,,
AutoAOIOffsetY_RegAddr,Integer,,AutoAOIOffsetY_RegAddr,,,,,,,
AutoAOISelectorAddressOffset,IntSwissKnife,,AutoAOISelectorAddressOffset,,,,,,,
AutoAOISelector_Inq,IntSwissKnife,,AutoAOISelector_Inq,,,,,,,
AutoAOISelector_Int,Integer,,AutoAOISelector_Int,,,,,,,
AutoAOIUsageIntensity_InqAvailable,IntSwissKnife,,AutoAOIUsageIntensity_InqAvailable,,,,,,,
AutoAOIUsageWhiteBalance_InqAvailable,IntSwissKnife,,AutoAOIUsageWhiteBalance_InqAvailable,,,,,,,
AutoAOIUsage_RegAddr,Integer,,AutoAOIUsage_RegAddr,,,,,,,
AutoAOIWidthMax_Inq,IntSwissKnife,,AutoAOIWidthMax_Inq,,,,,,,
AutoAOIWidth_Reg,IntReg,,AutoAOIWidth_Reg,,RW,,,,,
AutoAOIWidth_RegAddr,Integer,,AutoAOIWidth_RegAddr,,,,,,,
AutoCorrectionInq_RegAddr,Integer,,AutoCorrectionInq_RegAddr,,,,,,,
AutoExposureInq_RegAddr,Integer,,AutoExposureInq_RegAddr,,,,,,,
AutoExposureTimeLowerLimitIncInq_Reg,IntReg,,AutoExposureTimeLowerLimitIncInq_Reg,,RO,,,,,
AutoExposureTimeLowerLimitIncInq_RegAddr,Integer,,AutoExposureTimeLowerLimitIncInq_RegAddr,,,,,,,
AutoExposureTimeLowerLimitMaxInq_Reg,IntReg,,AutoExposureTimeLowerLimitMaxInq_Reg,,RO,,,,,
AutoExposureTimeLowerLimitMaxInq_RegAddr,Integer,,AutoExposureTimeLowerLimitMaxInq_RegAddr,,,,,,,
AutoExposureTimeLowerLimitMaxInq_Reg_Int,IntSwissKnife,,AutoExposureTimeLowerLimitMaxInq_Reg_Int,,,,,,,
AutoExposureTimeLowerLimitMinInq_Reg,IntReg,,AutoExposureTimeLowerLimitMinInq_Reg,,RO,,,,,
AutoExposureTimeLowerLimitMinInq_RegAddr,Integer,,AutoExposureTimeLowerLimitMinInq_RegAddr,,,,,,,
AutoExposureTimeLowerLimit_Reg,IntReg,,AutoExposureTimeLowerLimit_Reg,,RW,,,,,
AutoExposureTimeLowerLimit_RegAddr,Integer,,AutoExposureTimeLowerLimit_RegAddr,,,,,,,
AutoExposureTimeUpperLimitIncInq_Reg,IntReg,,AutoExposureTimeUpperLimitIncInq_Reg,,RO,,,,,
AutoExposureTimeUpperLimitIncInq_RegAddr,Integer,,AutoExposureTimeUpperLimitIncInq_RegAddr,,,,,,,
AutoExposureTimeUpperLimitMaxInq_Reg,IntReg,,AutoExposureTimeUpperLimitMaxInq_Reg,,RO,,,,,
AutoExposureTimeUpperLimitMaxInq_RegAddr,Integer,,AutoExposureTimeUpperLimitMaxInq_RegAddr,,,,,,,
AutoExposureTimeUpperLimitMinInq_Reg,IntReg,,AutoExposureTimeUpperLimitMinInq_Reg,,RO,,,,,
AutoExposureTimeUpperLimitMinInq_RegAddr,Integer,,AutoExposureTimeUpperLimitMinInq_RegAddr,,,,,,,
AutoExposureTimeUpperLimitMinInq_Reg_Int,IntSwissKnife,,AutoExposureTimeUpperLimitMinInq_Reg_Int,,,,,,,
AutoExposureTimeUpperLimit_Reg,IntReg,,AutoExposureTimeUpperLimit_Reg,,RW,,,,,
AutoExposureTimeUpperLimit_RegAddr,Integer,,AutoExposureTimeUpperLimit_RegAddr,,,,,,,
AutoGainLowerLimitIncInq_Reg,IntReg,,AutoGainLowerLimitIncInq_Reg,,RO,,,,,
